"","site.name","month","monthly_mean_pm2.5_2022_from_pm2.5","mean_pm2.5_2022_from2.5","monthly_mean_pm2.5_2023_from_pm2.5","mean_pm2.5_2023_from2.5"
"67","Grand Portage Band","July",1.36451612903226,1.18787878787879,4.49354838709677,4.16916426512968
"68","Grand Portage Band","August",0.923076923076923,1.18787878787879,8.52333333333333,4.16916426512968
"69","Grand Portage Band","September",-0.53,1.18787878787879,9.31666666666667,4.16916426512968
"70","Grand Portage Band","October",1.24230769230769,1.18787878787879,2.81612903225806,4.16916426512968
"71","Grand Portage Band","November",1.33333333333333,1.18787878787879,2.47,4.16916426512968
"72","Grand Portage Band","December",1.95833333333333,1.18787878787879,3.92222222222222,4.16916426512968
"73","Brainerd Lakes Regional Airport","January",5.53548387096774,5.62375366568915,10.1483870967742,8.54657534246575
"74","Brainerd Lakes Regional Airport","February",5.71428571428571,5.62375366568915,3.28214285714286,8.54657534246575
"75","Brainerd Lakes Regional Airport","March",4.35483870967742,5.62375366568915,6.35161290322581,8.54657534246575
"76","Brainerd Lakes Regional Airport","April",5.355,5.62375366568915,5.41333333333333,8.54657534246575
"77","Brainerd Lakes Regional Airport","May",3.78666666666667,5.62375366568915,7.66129032258065,8.54657534246575
"78","Brainerd Lakes Regional Airport","June",6.85666666666667,5.62375366568915,16.7233333333333,8.54657534246575
"79","Brainerd Lakes Regional Airport","July",5.4741935483871,5.62375366568915,13.0935483870968,8.54657534246575
"80","Brainerd Lakes Regional Airport","August",4.69677419354839,5.62375366568915,12.641935483871,8.54657534246575
"81","Brainerd Lakes Regional Airport","September",5.00526315789474,5.62375366568915,9.89666666666667,8.54657534246575
"82","Brainerd Lakes Regional Airport","October",7.1551724137931,5.62375366568915,4.67096774193548,8.54657534246575
"83","Brainerd Lakes Regional Airport","November",6.77,5.62375366568915,5.43,8.54657534246575
"84","Brainerd Lakes Regional Airport","December",6.57096774193548,5.62375366568915,6.84193548387097,8.54657534246575
"85","Apple Valley","January",7.03928571428571,6.67380952380952,14.4241935483871,11.4307210031348
"86","Apple Valley","February",6.47692307692308,6.67380952380952,8.07142857142857,11.4307210031348
"87","Apple Valley","March",3.66896551724138,6.67380952380952,7.48064516129032,11.4307210031348
"88","Apple Valley","April",1.69285714285714,6.67380952380952,6.53333333333333,11.4307210031348
"89","Apple Valley","May",3.21785714285714,6.67380952380952,11.5048387096774,11.4307210031348
"90","Apple Valley","June",4.77,6.67380952380952,22.7933333333333,11.4307210031348
"91","Apple Valley","July",6.15555555555556,6.67380952380952,12.3596774193548,11.4307210031348
"92","Apple Valley","August",7.00322580645161,6.67380952380952,13.5564516129032,11.4307210031348
"93","Apple Valley","September",6.98666666666667,6.67380952380952,10.8083333333333,11.4307210031348
"94","Apple Valley","October",9.43870967741936,6.67380952380952,6.78709677419355,11.4307210031348
"95","Apple Valley","November",8.68333333333333,6.67380952380952,7.64,11.4307210031348
"96","Apple Valley","December",7.70161290322581,6.67380952380952,10.158064516129,11.4307210031348
"97","Near Road I-35","January",7.79259259259259,6.27867435158501,13.7806451612903,10.4528767123288
"98","Near Road I-35","February",4.755,6.27867435158501,7.91785714285714,10.4528767123288
"99","Near Road I-35","March",3.94193548387097,6.27867435158501,7.49354838709677,10.4528767123288
"100","Near Road I-35","April",3.12,6.27867435158501,6.46666666666667,10.4528767123288
"101","Near Road I-35","May",3.15806451612903,6.27867435158501,11.2387096774194,10.4528767123288
"102","Near Road I-35","June",4.78,6.27867435158501,22.04,10.4528767123288
"103","Near Road I-35","July",6.0037037037037,6.27867435158501,11.7967741935484,10.4528767123288
"104","Near Road I-35","August",7.2,6.27867435158501,12.8032258064516,10.4528767123288
"105","Near Road I-35","September",7.42333333333333,6.27867435158501,10.37,10.4528767123288
"106","Near Road I-35","October",9.50322580645161,6.27867435158501,6.0741935483871,10.4528767123288
"107","Near Road I-35","November",8.99666666666667,6.27867435158501,6.60333333333333,10.4528767123288
"108","Near Road I-35","December",8.32258064516129,6.27867435158501,8.72258064516129,10.4528767123288
"109","Near Road I-35/I-94","January",9.94193548387097,7.63116147308782,14.6741935483871,11.1430939226519
"110","Near Road I-35/I-94","February",8.93928571428571,7.63116147308782,9.34285714285714,11.1430939226519
"111","Near Road I-35/I-94","March",6.27741935483871,7.63116147308782,8.6,11.1430939226519
"112","Near Road I-35/I-94","April",4.59333333333333,7.63116147308782,7.33,11.1430939226519
"113","Near Road I-35/I-94","May",4.68387096774194,7.63116147308782,11.3645161290323,11.1430939226519
"114","Near Road I-35/I-94","June",4.75333333333333,7.63116147308782,22.89,11.1430939226519
"115","Near Road I-35/I-94","July",5.43684210526316,7.63116147308782,12.6964285714286,11.1430939226519
"116","Near Road I-35/I-94","August",7.72258064516129,7.63116147308782,13.5612903225806,11.1430939226519
"117","Near Road I-35/I-94","September",8.31666666666667,7.63116147308782,9.60666666666667,11.1430939226519
"118","Near Road I-35/I-94","October",11.0290322580645,7.63116147308782,6.28709677419355,11.1430939226519
"119","Near Road I-35/I-94","November",10.11,7.63116147308782,7.48,11.1430939226519
"120","Near Road I-35/I-94","December",8.95806451612903,7.63116147308782,9.94838709677419,11.1430939226519
"121","Andersen School","January",9.7390243902439,7.55756207674944,13.6878048780488,10.9962962962963
"122","Andersen School","February",9.28421052631579,7.55756207674944,8.90810810810811,10.9962962962963
"123","Andersen School","March",6.3,7.55756207674944,7.29285714285714,10.9962962962963
"124","Andersen School","April",5.46052631578947,7.55756207674944,6.40769230769231,10.9962962962963
"125","Andersen School","May",5.31379310344828,7.55756207674944,11.5589743589744,10.9962962962963
"126","Andersen School","June",6.27105263157895,7.55756207674944,23.3175,10.9962962962963
"127","Andersen School","July",6.65217391304348,7.55756207674944,16.76,10.9962962962963
"128","Andersen School","August",7.00975609756098,7.55756207674944,13.0142857142857,10.9962962962963
"129","Andersen School","September",6.87352941176471,7.55756207674944,10.6342105263158,10.9962962962963
"130","Andersen School","October",9.34634146341463,7.55756207674944,6.59354838709677,10.9962962962963
"131","Andersen School","November",8.65641025641026,7.55756207674944,7.89333333333333,10.9962962962963
"132","Andersen School","December",8.57,7.55756207674944,10.548275862069,10.9962962962963
"133","St. Louis Park City Hall","January",9.3,6.54275862068966,13.2166666666667,10.635
"134","St. Louis Park City Hall","February",7.025,6.54275862068966,8.01111111111111,10.635
"135","St. Louis Park City Hall","March",4.75454545454545,6.54275862068966,5.90769230769231,10.635
"136","St. Louis Park City Hall","April",5.28333333333333,6.54275862068966,4.06666666666667,10.635
"137","St. Louis Park City Hall","May",5.24615384615385,6.54275862068966,11.36,10.635
"138","St. Louis Park City Hall","June",6.54166666666667,6.54275862068966,23.76,10.635
"139","St. Louis Park City Hall","July",5.91428571428571,6.54275862068966,12.1090909090909,10.635
"140","St. Louis Park City Hall","August",6.425,6.54275862068966,9.475,10.635
"141","St. Louis Park City Hall","September",6.13846153846154,6.54275862068966,9.91818181818182,10.635
"142","St. Louis Park City Hall","October",7.45,6.54275862068966,NA,10.635
"143","St. Louis Park City Hall","November",7.42727272727273,6.54275862068966,NA,10.635
"144","St. Louis Park City Hall","December",7.55384615384615,6.54275862068966,NA,10.635
"145","Boundary Waters","January",4.90243902439024,3.78068181818182,3.97,6.19480198019802
"146","Boundary Waters","February",4.61428571428571,3.78068181818182,3.40810810810811,6.19480198019802
"147","Boundary Waters","March",3.15121951219512,3.78068181818182,3.03095238095238,6.19480198019802
"148","Boundary Waters","April",2.76571428571429,3.78068181818182,3.27,6.19480198019802
"149","Boundary Waters","May",3.4975,3.78068181818182,5.66129032258065,6.19480198019802
"150","Boundary Waters","June",6.39473684210526,3.78068181818182,18.4833333333333,6.19480198019802
"151","Boundary Waters","July",3.55,3.78068181818182,9.67741935483871,6.19480198019802
"152","Boundary Waters","August",2.72857142857143,3.78068181818182,11.0741935483871,6.19480198019802
"153","Boundary Waters","September",2.70769230769231,3.78068181818182,9.38,6.19480198019802
"154","Boundary Waters","October",4.05806451612903,3.78068181818182,3.03225806451613,6.19480198019802
"155","Boundary Waters","November",3.6,3.78068181818182,2.77333333333333,6.19480198019802
"156","Boundary Waters","December",3.3,3.78068181818182,4.12258064516129,6.19480198019802
"157","Southwest Minnesota Regional Airport","January",5.53870967741936,6.45337078651685,9.51935483870968,10.524791086351
"158","Southwest Minnesota Regional Airport","February",10.4888888888889,6.45337078651685,5.70357142857143,10.524791086351
"159","Southwest Minnesota Regional Airport","March",5.33225806451613,6.45337078651685,7.77741935483871,10.524791086351
"160","Southwest Minnesota Regional Airport","April",5.52,6.45337078651685,6.94,10.524791086351
"161","Southwest Minnesota Regional Airport","May",5.09354838709677,6.45337078651685,12.3741935483871,10.524791086351
"162","Southwest Minnesota Regional Airport","June",5.93,6.45337078651685,16.6233333333333,10.524791086351
"163","Southwest Minnesota Regional Airport","July",5.72258064516129,6.45337078651685,14.4870967741935,10.524791086351
"164","Southwest Minnesota Regional Airport","August",4.57096774193548,6.45337078651685,15.8096774193548,10.524791086351
"165","Southwest Minnesota Regional Airport","September",5.62333333333333,6.45337078651685,17.1793103448276,10.524791086351
"166","Southwest Minnesota Regional Airport","October",8.42903225806452,6.45337078651685,5.49333333333333,10.524791086351
"167","Southwest Minnesota Regional Airport","November",9.56785714285714,6.45337078651685,6.48333333333333,10.524791086351
"168","Southwest Minnesota Regional Airport","December",6.352,6.45337078651685,7.23333333333333,10.524791086351
"169","Ben Franklin School","January",6.08387096774194,6.5116991643454,12.6741935483871,10.5347338935574
"170","Ben Franklin School","February",6.80357142857143,6.5116991643454,7.65,10.5347338935574
"171","Ben Franklin School","March",4.89032258064516,6.5116991643454,7.95384615384615,10.5347338935574
"172","Ben Franklin School","April",3.49333333333333,6.5116991643454,7.29333333333333,10.5347338935574
"173","Ben Franklin School","May",3.47741935483871,6.5116991643454,10.6258064516129,10.5347338935574
"174","Ben Franklin School","June",5.74666666666667,6.5116991643454,23.2433333333333,10.5347338935574
"175","Ben Franklin School","July",3.86,6.5116991643454,11.1357142857143,10.5347338935574
"176","Ben Franklin School","August",7.74838709677419,6.5116991643454,13.4064516129032,10.5347338935574
"177","Ben Franklin School","September",7.81333333333333,6.5116991643454,10.4066666666667,10.5347338935574
"178","Ben Franklin School","October",10.5258064516129,6.5116991643454,5.95806451612903,10.5347338935574
"179","Ben Franklin School","November",9.07666666666667,6.5116991643454,7.21,10.5347338935574
"180","Ben Franklin School","December",8.13870967741935,6.5116991643454,8.41612903225806,10.5347338935574
"181","Ramsey Health Center","January",8,7.3271186440678,12.94,10.6287356321839
"182","Ramsey Health Center","February",8.54444444444444,7.3271186440678,9.42222222222222,10.6287356321839
"183","Ramsey Health Center","March",5.46666666666667,7.3271186440678,6.71818181818182,10.6287356321839
"184","Ramsey Health Center","April",6.39090909090909,7.3271186440678,3.98888888888889,10.6287356321839
"185","Ramsey Health Center","May",6.01,7.3271186440678,11.8875,10.6287356321839
"186","Ramsey Health Center","June",8.27,7.3271186440678,22.75,10.6287356321839
"187","Ramsey Health Center","July",6.46363636363636,7.3271186440678,10.0333333333333,10.6287356321839
"188","Ramsey Health Center","August",6.87,7.3271186440678,8.87272727272727,10.6287356321839
"189","Ramsey Health Center","September",6.51111111111111,7.3271186440678,9.02,10.6287356321839
"190","Ramsey Health Center","October",7.88,7.3271186440678,NA,10.6287356321839
"191","Ramsey Health Center","November",7.73333333333333,7.3271186440678,NA,10.6287356321839
"192","Ramsey Health Center","December",9.69090909090909,7.3271186440678,NA,10.6287356321839
"193","Harding High School","January",8.12638888888889,6.04456928838951,14.4209302325581,10.9902386117137
"194","Harding High School","February",8.36129032258065,6.04456928838951,9.19722222222222,10.9902386117137
"195","Harding High School","March",5.39066666666667,6.04456928838951,7.21944444444444,10.9902386117137
"196","Harding High School","April",4.28507462686567,6.04456928838951,6.24285714285714,10.9902386117137
"197","Harding High School","May",5.128,6.04456928838951,10.7463414634146,10.9902386117137
"198","Harding High School","June",6.24179104477612,6.04456928838951,22.8833333333333,10.9902386117137
"199","Harding High School","July",4.92424242424242,6.04456928838951,12.5488372093023,10.9902386117137
"200","Harding High School","August",4.76849315068493,6.04456928838951,11.9772727272727,10.9902386117137
"201","Harding High School","September",5.19154929577465,6.04456928838951,9.59761904761905,10.9902386117137
"202","Harding High School","October",6.85890410958904,6.04456928838951,6.39032258064516,10.9902386117137
"203","Harding High School","November",6.56296296296296,6.04456928838951,7.48666666666667,10.9902386117137
"204","Harding High School","December",7.54782608695652,6.04456928838951,9.64838709677419,10.9902386117137
"205","Voyageurs NP - Sullivan Bay","January",3.04,2.63008849557522,2.97,2.50967741935484
"206","Voyageurs NP - Sullivan Bay","February",3.375,2.63008849557522,2.3,2.50967741935484
"207","Voyageurs NP - Sullivan Bay","March",1.57777777777778,2.63008849557522,2.05,2.50967741935484
"208","Voyageurs NP - Sullivan Bay","April",1.5,2.63008849557522,2.4625,2.50967741935484
"209","Voyageurs NP - Sullivan Bay","May",2.03,2.63008849557522,NA,2.50967741935484
"210","Voyageurs NP - Sullivan Bay","June",2.85555555555556,2.63008849557522,NA,2.50967741935484
"211","Voyageurs NP - Sullivan Bay","July",3.31,2.63008849557522,NA,2.50967741935484
"212","Voyageurs NP - Sullivan Bay","August",3.46666666666667,2.63008849557522,NA,2.50967741935484
"213","Voyageurs NP - Sullivan Bay","September",2.87142857142857,2.63008849557522,NA,2.50967741935484
"214","Voyageurs NP - Sullivan Bay","October",4.05,2.63008849557522,NA,2.50967741935484
"215","Voyageurs NP - Sullivan Bay","November",1.74,2.63008849557522,NA,2.50967741935484
"216","Voyageurs NP - Sullivan Bay","December",2.02727272727273,2.63008849557522,NA,2.50967741935484
"217","Virginia City Hall","January",5.05483870967742,4.62757575757576,6.85483870967742,8.00609418282549
"218","Virginia City Hall","February",4.92222222222222,4.62757575757576,5.625,8.00609418282549
"219","Virginia City Hall","March",3.13225806451613,4.62757575757576,5.28275862068966,8.00609418282549
"220","Virginia City Hall","April",2.06333333333333,4.62757575757576,4.87,8.00609418282549
"221","Virginia City Hall","May",3.4,4.62757575757576,7.04838709677419,8.00609418282549
"222","Virginia City Hall","June",6.48125,4.62757575757576,17.9133333333333,8.00609418282549
"223","Virginia City Hall","July",4.85161290322581,4.62757575757576,11.3935483870968,8.00609418282549
"224","Virginia City Hall","August",4.34516129032258,4.62757575757576,12.2451612903226,8.00609418282549
"225","Virginia City Hall","September",4.32916666666667,4.62757575757576,9.54666666666667,8.00609418282549
"226","Virginia City Hall","October",6.61612903225806,4.62757575757576,4.00645161290323,8.00609418282549
"227","Virginia City Hall","November",5.39,4.62757575757576,4.98928571428571,8.00609418282549
"228","Virginia City Hall","December",5.2,4.62757575757576,5.86774193548387,8.00609418282549
"229","U of M - Duluth","January",6.34516129032258,2.88023255813953,8.15666666666667,8.48072625698324
"230","U of M - Duluth","February",5.96538461538462,2.88023255813953,6.38928571428571,8.48072625698324
"231","U of M - Duluth","March",2.91290322580645,2.88023255813953,4.152,8.48072625698324
"232","U of M - Duluth","April",1.82666666666667,2.88023255813953,4.45333333333333,8.48072625698324
"233","U of M - Duluth","May",1.31290322580645,2.88023255813953,6.80967741935484,8.48072625698324
"234","U of M - Duluth","June",1.34,2.88023255813953,20.2066666666667,8.48072625698324
"235","U of M - Duluth","July",0.590322580645161,2.88023255813953,12.7548387096774,8.48072625698324
"236","U of M - Duluth","August",-0.583870967741935,2.88023255813953,12.0129032258065,8.48072625698324
"237","U of M - Duluth","September",-0.29,2.88023255813953,10.4166666666667,8.48072625698324
"238","U of M - Duluth","October",4.37826086956522,2.88023255813953,4.2741935483871,8.48072625698324
"239","U of M - Duluth","November",6.90769230769231,2.88023255813953,4.71,8.48072625698324
"240","U of M - Duluth","December",5.88333333333333,2.88023255813953,6.57096774193548,8.48072625698324
"241","Laura MacArthur School","January",6.72258064516129,3.63918918918919,8.37096774193548,8.47906336088154
"242","Laura MacArthur School","February",6.44285714285714,3.63918918918919,6.5,8.47906336088154
"243","Laura MacArthur School","March",2.68571428571429,3.63918918918919,5.1,8.47906336088154
"244","Laura MacArthur School","April",2.175,3.63918918918919,4.88,8.47906336088154
"245","Laura MacArthur School","May",2.98095238095238,3.63918918918919,7.3741935483871,8.47906336088154
"246","Laura MacArthur School","June",3.65333333333333,3.63918918918919,19.65,8.47906336088154
"247","Laura MacArthur School","July",1.1125,3.63918918918919,12.2451612903226,8.47906336088154
"248","Laura MacArthur School","August",0.432258064516129,3.63918918918919,11.4379310344828,8.47906336088154
"249","Laura MacArthur School","September",0.05,3.63918918918919,10.1066666666667,8.47906336088154
"250","Laura MacArthur School","October",3.98965517241379,3.63918918918919,4.34838709677419,8.47906336088154
"251","Laura MacArthur School","November",6.81428571428571,3.63918918918919,4.81,8.47906336088154
"252","Laura MacArthur School","December",8.7375,3.63918918918919,7.10322580645161,8.47906336088154
"253","B.F. Pearson School","January",5.88518518518519,6.78811594202899,14.2612903225806,11.3304945054945
"254","B.F. Pearson School","February",6.40714285714286,6.78811594202899,8.48214285714286,11.3304945054945
"255","B.F. Pearson School","March",5.24193548387097,6.78811594202899,7.89666666666667,11.3304945054945
"256","B.F. Pearson School","April",4.21666666666667,6.78811594202899,6.92,11.3304945054945
"257","B.F. Pearson School","May",5.41071428571429,6.78811594202899,11.5870967741935,11.3304945054945
"258","B.F. Pearson School","June",6.87,6.78811594202899,22.4766666666667,11.3304945054945
"259","B.F. Pearson School","July",7.00416666666667,6.78811594202899,12.9774193548387,11.3304945054945
"260","B.F. Pearson School","August",6.92258064516129,6.78811594202899,14.2451612903226,11.3304945054945
"261","B.F. Pearson School","September",7.08333333333333,6.78811594202899,11.5933333333333,11.3304945054945
"262","B.F. Pearson School","October",9.89354838709677,6.78811594202899,6.80322580645161,11.3304945054945
"263","B.F. Pearson School","November",9.22666666666667,6.78811594202899,8.17,11.3304945054945
"264","B.F. Pearson School","December",7.132,6.78811594202899,10.2903225806452,11.3304945054945
"265","Talahi School","January",8.29032258064516,6.88403041825095,12.1451612903226,10.386301369863
"266","Talahi School","February",8.01428571428571,6.88403041825095,8.03214285714286,10.386301369863
"267","Talahi School","March",6.20967741935484,6.88403041825095,7.37096774193548,10.386301369863
"268","Talahi School","April",4.70333333333333,6.88403041825095,6.68666666666667,10.386301369863
"269","Talahi School","May",3.46818181818182,6.88403041825095,9.91290322580645,10.386301369863
"270","Talahi School","June",NA,6.88403041825095,20.8066666666667,10.386301369863
"271","Talahi School","July",NA,6.88403041825095,13.2354838709677,10.386301369863
"272","Talahi School","August",NA,6.88403041825095,14.3451612903226,10.386301369863
"273","Talahi School","September",6.81724137931035,6.88403041825095,11.43,10.386301369863
"274","Talahi School","October",8.58387096774194,6.88403041825095,5.73225806451613,10.386301369863
"275","Talahi School","November",7.44666666666667,6.88403041825095,6.39,10.386301369863
"276","Talahi School","December",7.48387096774194,6.88403041825095,8.44193548387097,10.386301369863
"277","Great River Bluffs","January",5.42,4.6801652892562,8.07,5.625
"278","Great River Bluffs","February",6.28888888888889,4.6801652892562,6.03333333333333,5.625
"279","Great River Bluffs","March",3.09,4.6801652892562,4.38181818181818,5.625
"280","Great River Bluffs","April",3.34,4.6801652892562,4.18,5.625
"281","Great River Bluffs","May",4.38,4.6801652892562,NA,5.625
"282","Great River Bluffs","June",4.05,4.6801652892562,NA,5.625
"283","Great River Bluffs","July",4.23636363636364,4.6801652892562,NA,5.625
"284","Great River Bluffs","August",4.62,4.6801652892562,NA,5.625
"285","Great River Bluffs","September",4.96,4.6801652892562,NA,5.625
"286","Great River Bluffs","October",5.35,4.6801652892562,NA,5.625
"287","Great River Bluffs","November",4.92,4.6801652892562,NA,5.625
